spp,mountain,site,leaf_N,leaf_P,leaf_K,leaf_Ca,leaf_Mg,leaf_S,leaf_Mn,leaf_Fe,leaf_Cu,leaf_B,leaf_Al,leafZn,leaf_Na,pH,SOM,P,K,Ca,Mg,Zn,B,Mn,Cu,Fe,Al,Na,S,Exch_Acid,ECEC
FAGR,KIL,L,2.26,0.21,0.84,0.72,0.3,0.16,762,188,13,16,83,38,35,4.28,13.975,1.35,62,144,41,2.2,0.45,12,0.35,80.5,330,7,25,10.74,1.22
FAGR,KIL,L,2.36,0.12,0.81,0.86,0.3,0.24,1211,173,14,21,74,34,21,4.37,10.972,1.55,68,135,34,2.05,0.35,30.3,0.35,68.4,265,8,23,9.56,1.13
FAGR,KIL,L,2.15,0.19,0.87,0.85,0.27,0.15,947,263,9,19,92,28,32,4.57,11.245,2.1,103,331,47,4.15,0.35,65.3,0.35,64.1,232,9,22,8.86,2.31
FAGR,KIL,M,2.22,0.17,0.68,0.78,0.21,0.14,1839,155,7,17,53,31,28,4.45,7.696,2.55,76,299,50,2.35,0.5,115.2,0.35,87.8,139,48,24,8.12,2.11
FAGR,KIL,M,2.28,0.19,0.7,0.88,0.22,0.2,1537,185,9,24,79,31,35,4.2,10.426,2.15,63,121,39,2,0.7,34.5,0.4,123.9,231,6,27,9.84,1.09
FAGR,KIL,M,2.08,0.14,0.82,0.82,0.17,0.14,1246,115,13,21,32,29,27,3.53,71.032,27.8,88,538,111,6.25,0.05,10.6,0.15,2.3,11,10,30,23.78,3.84
FAGR,KIL,H,2.11,0.18,0.73,0.8,0.2,0.19,2464,124,10,24,42,34,37,3.64,39.091,3.45,83,145,46,3.45,0.15,8.4,0.25,23.1,96,7,36,17.07,1.32
FAGR,KIL,H,1.98,0.15,0.7,0.74,0.2,0.2,1750,135,15,28,32,36,34,3.53,39,8.8,72,243,50,4.65,0.05,10.8,0.15,8.1,38,8,32,17.16,1.82
FAGR,KIL,H,2.23,0.25,0.65,0.86,0.28,0.21,1163,112,15,21,34,26,31,4.17,51.831,1.55,58,93,29,3.15,0.1,19.5,0.25,9.9,439,8,33,19.46,0.86
FAGR,MAN,L,2.34,0.14,0.84,0.75,0.29,0.2,767,184,10,23,83,31,37,3.62,35.724,9.55,87,184,72,3.1,0.15,25.3,0.2,26.8,25,9,31,16.14,1.74
FAGR,MAN,L,2.31,0.15,0.81,0.8,0.22,0.23,1209,176,11,26,77,35,23,4.27,10.335,1.9,51,72,21,2.05,0.2,60.4,0.5,33.8,294,6,29,9.86,0.67
FAGR,MAN,L,2.22,0.14,0.84,0.88,0.27,0.17,948,263,14,20,91,33,30,3.57,19.981,5.45,53,131,62,4.05,0.2,16.9,0.25,39,30,10,25,13.01,1.31
FAGR,MAN,M,2.2,0.18,0.67,0.81,0.25,0.23,1833,154,12,21,60,36,28,3.52,73.216,10.15,55,223,70,3.15,0.05,9.7,0.1,2.2,18,17,27,24.3,1.84
FAGR,MAN,M,2.29,0.19,0.72,0.94,0.21,0.17,1544,186,10,23,75,38,34,3.83,54.743,17.35,147,195,76,4.15,0.05,23.9,0.15,8.8,43,10,40,19.55,1.99
FAGR,MAN,M,2.14,0.23,0.73,0.82,0.2,0.19,1242,115,10,28,29,32,31,3.92,33.722,2.3,93,124,39,2.45,0.35,22.3,0.5,63.8,185,12,37,15.42,1.18
FAGR,MAN,H,2.18,0.16,0.75,0.79,0.22,0.21,2466,130,14,24,48,34,35,3.91,34.086,2.15,75,69,35,1.75,0.95,4.1,0.65,177.3,179,12,37,15.51,0.83
FAGR,MAN,H,2,0.23,0.79,0.8,0.21,0.18,1750,131,11,28,30,37,30,4,27.534,2.45,99,108,48,2.65,0.5,10.1,0.5,91.8,155,9,35,13.76,1.19
FAGR,MAN,H,2.2,0.23,0.73,0.79,0.26,0.19,1161,103,8,25,35,22,31,3.87,23.712,1.6,63,51,30,1.8,0.85,4.4,0.7,159,155,10,32,13.36,0.67
